aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,rodada
"['v', 'v', 'v', 'v', 'd']","['e', 'e', 'd', 'd', 'v']",Maracanã,,,,2023-08-20 11:00:00,,0,1,302812,3,282,15,267,1692540000,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/20-08-2023/vasco-atletico-mg.ghtml?utm_source=cartolafc,20
"['d', 'd', 'v', 'v', 'v']","['e', 'e', 'd', 'd', 'd']",Vila Belmiro,,,,2023-08-20 16:00:00,,1,2,302814,2,284,17,277,1692558000,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/20-08-2023/santos-gremio.ghtml?utm_source=cartolafc,20
"['v', 'v', 'd', 'v', 'd']","['v', 'd', 'e', 'd', 'd']",Couto Pereira,,,,2023-08-20 16:00:00,,3,2,302818,4,262,19,294,1692558000,26,True,saiba como foi,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/20-08-2023/coritiba-flamengo.ghtml?utm_source=cartolafc,20
"['d', 'd', 'd', 'v', 'd']","['e', 'v', 'd', 'd', 'v']",Itaipava Arena Fonte Nova,,,,2023-08-20 16:00:00,,0,4,302819,6,280,16,265,1692558000,26,True,saiba como foi,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/20-08-2023/bahia-bragantino.ghtml?utm_source=cartolafc,20
"['e', 'e', 'e', 'v', 'd']","['d', 'd', 'd', 'd', 'v']",Hailé Pinheiro (Serrinha),,,,2023-08-21 20:00:00,,1,1,302815,8,293,18,290,1692658800,26,True,saiba como foi,https://ge.globo.com/go/futebol/brasileirao-serie-a/jogo/21-08-2023/goias-atletico-pr.ghtml?utm_source=cartolafc,20
"['d', 'v', 'v', 'v', 'v']","['e', 'e', 'e', 'e', 'd']",Nilton Santos (Engenhão),,,,2023-08-12 21:00:00,,1,3,302773,9,285,5,263,1691884800,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/12-08-2023/botafogo-internacional.ghtml?utm_source=cartolafc,19
"['e', 'v', 'd', 'd', 'v']","['v', 'v', 'v', 'v', 'd']",Mineirão,,,,2023-08-13 11:00:00,,0,1,302780,16,265,3,282,1691935200,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/13-08-2023/atletico-mg-bahia.ghtml?utm_source=cartolafc,19
"['v', 'd', 'e', 'd', 'd']","['v', 'd', 'v', 'd', 'v']",Neo Química Arena,,,,2023-08-13 16:00:00,,1,3,302777,19,294,13,264,1691953200,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/13-08-2023/corinthians-coritiba.ghtml?utm_source=cartolafc,19
"['v', 'v', 'v', 'd', 'd']","['d', 'd', 'v', 'v', 'v']",Arena do Grêmio,,,,2023-08-13 16:00:00,,1,2,302782,7,266,2,284,1691953200,26,True,saiba como foi,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/13-08-2023/gremio-fluminense.ghtml?utm_source=cartolafc,19
"['d', 'd', 'd', 'd', 'v']","['d', 'd', 'd', 'v', 'd']",Independência,,,,2023-08-13 16:00:00,,1,0,302788,18,290,20,327,1691953200,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/13-08-2023/america-mg-goias.ghtml?utm_source=cartolafc,19
"['d', 'e', 'v', 'd', 'v']","['v', 'v', 'd', 'v', 'd']",Maracanã,,,,2023-08-13 18:30:00,,1,1,302772,11,276,4,262,1691962200,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/13-08-2023/flamengo-sao-paulo.ghtml?utm_source=cartolafc,19
"['e', 'e', 'd', 'd', 'd']","['e', 'e', 'v', 'v', 'v']",Castelão (CE),,,,2023-08-13 18:30:00,,0,4,302786,17,277,10,356,1691962200,26,True,saiba como foi,https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/13-08-2023/fortaleza-santos.ghtml?utm_source=cartolafc,19
"['e', 'v', 'e', 'e', 'e']","['v', 'e', 'v', 'v', 'e']",Allianz Parque,,,,2023-08-14 19:00:00,,0,1,302775,14,283,1,275,1692050400,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/14-08-2023/palmeiras-cruzeiro.ghtml?utm_source=cartolafc,19
"['e', 'e', 'd', 'd', 'v']","['d', 'd', 'd', 'v', 'd']",Nabi Abi Chedid,,,,2023-08-14 21:00:00,,1,1,302779,15,267,6,280,1692057600,26,True,saiba como foi,https://ge.globo.com/sp/vale-do-paraiba-regiao/futebol/brasileirao-serie-a/jogo/14-08-2023/bragantino-vasco.ghtml?utm_source=cartolafc,19
"['v', 'e', 'd', 'd', 'v']","['e', 'e', 'e', 'v', 'd']",Ligga Arena,,,,2023-08-15 20:00:00,,0,2,302784,12,1371,8,293,1692140400,26,False,saiba como foi,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/15-08-2023/atletico-pr-cuiaba.ghtml?utm_source=cartolafc,19
"['e', 'e', 'e', 'v', 'd']","['e', 'e', 'd', 'd', 'd']",Vila Belmiro,,,,2023-08-05 16:00:00,,1,1,302724,8,293,17,277,1691262000,26,True,saiba como foi,https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/05-08-2023/santos-atletico-pr.ghtml?utm_source=cartolafc,18
"['e', 'e', 'v', 'v', 'v']","['d', 'd', 'd', 'd', 'v']",Hailé Pinheiro (Serrinha),,,,2023-08-05 18:30:00,,0,1,302725,10,356,18,290,1691271000,26,True,saiba como foi,https://ge.globo.com/go/futebol/brasileirao-serie-a/jogo/05-08-2023/goias-fortaleza.ghtml?utm_source=cartolafc,18
"['v', 'd', 'v', 'd', 'v']","['d', 'v', 'v', 'v', 'v']",Beira-Rio,,,,2023-08-05 18:30:00,,2,2,302747,13,264,9,285,1691271000,26,True,saiba como foi,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/05-08-2023/internacional-corinthians.ghtml?utm_source=cartolafc,18
"['v', 'e', 'v', 'v', 'e']","['v', 'v', 'v', 'd', 'd']",Maracanã,,,,2023-08-05 21:00:00,,1,2,302721,1,275,7,266,1691280000,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/05-08-2023/fluminense-palmeiras.ghtml?utm_source=cartolafc,18
"['d', 'd', 'v', 'v', 'v']","['e', 'e', 'd', 'd', 'v']",São Januário,,,,2023-08-06 16:00:00,,0,1,302722,2,284,15,267,1691348400,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/06-08-2023/vasco-gremio.ghtml?utm_source=cartolafc,18
