apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,A,DS,FS,FC,FD,FF,PS,CA,G,PC,SG,I,DE,V,GS,CV,FT,scout,rodada,DP,GC,PP
John Kennedy,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_ZAgi9kx.png,7.6,5.0,266.0,True,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,38,,,
Biel,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_iT5hY8V.png,2.9,5.0,265.0,True,,1.0,3.0,2.0,,1.0,,,,,,,,,,,,,38,,,
Guilherme Lopes,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_UCfKPnM.png,-0.4,2.0,280.0,True,,,,1.0,,,,,,,,1.0,,,,,,,38,,,
Sorriso,https://s.sde.globo.com/media/person_role/2022/05/05/7924434ef39a0546d8ad7fa23ca14168_FORMATO.png,1.2,5.0,280.0,True,,1.0,,,,,,,,,,,,,,,,,38,,,
Felipe Augusto,https://s.sde.globo.com/media/person_role/2022/04/27/0397eababa104f1f3a03d140431a5223_FORMATO.png,0.0,5.0,264.0,True,,,,,,,,,,,,,,,,,,,38,,,
António Oliveira,https://s.sde.globo.com/media/person_role/2021/04/27/21a131dcff78d521da3297e98526ce48_FORMATO.png,8.24,6.0,1371.0,True,,,,,,,,,,,,,,1.0,,,,,38,,,
Fabinho,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_6TfTz4T.png,-0.3,4.0,275.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
JP Galvão,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_KKJAtgs.png,0.0,4.0,263.0,True,,,,,,,,,,,,,,,,,,,38,,,
Marlon Gomes,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_t23W3Dj.png,1.2,4.0,267.0,True,,1.0,,,,,,,,,,,,,,,,,38,,,
Guilherme Biro,https://s.sde.globo.com/media/person_role/2022/07/02/ea53a64347e60658cdcbd15ba83320ba_FORMATO.png,4.4,4.0,264.0,True,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,38,,,
Lucas Beraldo,https://s.sde.globo.com/media/person_role/2022/07/22/aef0c837cb53876eb1509bd8c3eaa586_FORMATO.png,8.2,3.0,276.0,True,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,38,,,
Thalisson Gabriel,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_sNKyuNw.png,0.9,3.0,294.0,True,,,,1.0,1.0,,,,,,,,,,,,,,38,,,
Kaiki,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_HCZ4bVf.png,1.3,2.0,283.0,True,,,1.0,,,1.0,,,,,,,,,,,,,38,,,
Flaco López,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_V15s07E.png,-0.6,5.0,275.0,True,,,,2.0,,,,,,,,,,,,,,,38,,,
Nathan Mendes,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Ec4EI26.png,7.9,2.0,276.0,True,,2.0,1.0,,,,,,,,1.0,,,,,,,,38,,,
Pablo Maia,https://s.sde.globo.com/media/person_role/2022/03/05/e91f0953fe782088f01eda528fd69b2f_FORMATO.png,1.9,4.0,276.0,True,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,38,,,
Diogo Batista,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_KoGBw9E.png,-0.6,2.0,294.0,True,,,,2.0,,,,,,,,,,,,,,,38,,,
Thauan Lara,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_QvNiNqZ.png,2.2,2.0,285.0,True,,1.0,2.0,,,,,,,,,,,,,,,,38,,,
Wesley,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_FLI9Vom.png,-0.4,2.0,262.0,True,,,1.0,3.0,,,,,,,,,,,,,,,38,,,
Endrick,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_6tQjxwx.png,11.8,5.0,275.0,True,,,1.0,1.0,3.0,,,,1.0,,,,,,,,,,38,,,
Denilson,https://s.sde.globo.com/media/person_role/2022/10/15/photo_FORMATO_sqKxYTo.png,0.0,4.0,1371.0,True,,,,,,,,,,,,,,,,,,,38,,,
Victor Hugo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_nUR0WYM.png,-1.3,4.0,262.0,True,,,,1.0,,,,1.0,,,,,,,,,,,38,,,
Cuiabano,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ER9oADt.png,0.7,2.0,284.0,True,,,2.0,1.0,,,,,,,,,,,,,,,38,,,
Gabriel Silva,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_kENShcR.png,0.8,4.0,294.0,True,,,,,,1.0,,,,,,,,,,,,,38,,,
Jamerson,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_vdcH1tF.png,5.9,2.0,294.0,True,,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,38,,,
Thiago Borbas,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_y6Ph2tU.png,1.2,5.0,280.0,True,,1.0,,,,,,,,,,,,,,,,,38,,,
Pedro Caixinha,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_LvzP4JH.png,1.87,6.0,280.0,True,,,,,,,,,,,,,,,,,,,38,,,
Giovane,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_TquvINB.png,0.0,5.0,264.0,True,,,,,,,,,,,,,,,,,,,38,,,
Wesley,https://s.sde.globo.com/media/person_role/2022/04/19/e9c12ff02569765cb5c876412fae8bb8_FORMATO.png,1.0,5.0,264.0,True,,,2.0,,,,,,,,,,,,,,,,38,,,
Ronald,https://s.sde.globo.com/media/person_role/2023/07/04/photo_FORMATO_juUTHsW.png,-0.3,4.0,284.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
Weslley Patati,https://s.sde.globo.com/media/person_role/2022/07/10/a604fa10e6f654cdd7a69453df88ea07_FORMATO.jpeg,0.5,5.0,277.0,True,,,,1.0,,1.0,,,,,,,,,,,,,38,,,
Jair Paula,https://s.sde.globo.com/media/person_role/2022/07/27/c0ca21ce2942942d0bf68a74cc8d121e_FORMATO.png,-0.3,3.0,277.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
Kaio César,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_CVQMogN.png,2.2,5.0,294.0,True,,,2.0,,1.0,,,,,,,,,,,,,,38,,,
Janderson,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ubiTL56.png,9.7,5.0,263.0,True,,,1.0,,1.0,,,,1.0,,,,,,,,,,38,,,
Thiago Dombroski,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_HL1Q189.png,1.7,3.0,294.0,True,,1.0,,1.0,,1.0,,,,,,,,,,,,,38,,,
Gustavinho,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_D4mqWRg.png,3.8,4.0,280.0,True,,3.0,1.0,1.0,,,,,,,,,,,,,,,38,,,
Japa,,1.8,4.0,283.0,True,,,2.0,,,1.0,,,,,,,,,,,,,38,,,
Cauly,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ruw71T7.png,7.9,4.0,265.0,True,,,,,,,,,1.0,,,1.0,,,,,,,38,,,
Lucas Ronier,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_mLIvaG1.png,-0.5,5.0,294.0,True,,1.0,1.0,4.0,,,,1.0,,,,,,,,,,,38,,,
Henry Mosquera,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_TRxfH8B.png,3.1,5.0,280.0,True,,2.0,2.0,1.0,,,,,,,,,,,,,,,38,,,
Allyson,https://s.sde.globo.com/media/person_role/2023/04/06/photo_FORMATO.png,6.0,3.0,1371.0,True,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,38,,,
Nathan Fernandes,https://s.sde.globo.com/media/person_role/2023/11/30/photo_FORMATO_3LOUtyA.png,0.5,5.0,284.0,True,,,1.0,,,,,,,,,,,,,,,,38,,,
Robert,https://s.sde.globo.com/media/person_role/2023/06/09/photo_FORMATO_Y3mjBy8.png,3.2,5.0,283.0,True,,1.0,,,1.0,1.0,,,,,,,,,,,,,38,,,
Alisson,,1.2,5.0,282.0,True,,1.0,,,,,,,,,,,,,,,,,38,,,
Serginho,https://s.sde.globo.com/media/person_role/2023/06/27/photo_FORMATO_CF5cmRB.png,9.7,5.0,267.0,True,,1.0,1.0,,,,,,1.0,,,,,,,,,,38,,,
Pedro Morisco,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uEqzzMU.png,3.0,1.0,294.0,True,,,,,,,,,,,,,5.0,,2.0,,,,38,,,
Zapelli,https://s.sde.globo.com/media/person_role/2023/07/21/photo_FORMATO_hPfi5y5.png,0.0,4.0,293.0,True,,,,,,,,,,,,,,,,,,,38,,,
Paulinho,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO.png,11.1,4.0,267.0,True,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,38,,,
Derik Lacerda,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_0IUGoh3.png,12.2,5.0,1371.0,True,,2.0,2.0,,,,1.0,,1.0,,,2.0,,,,,,,38,,,
